date,cash,reserved_margin,unrealized_pnl,nav,total_return_pct,open_positions_count
2025-01-01,5737.74,4260.13,0.0,9997.87,-0.02,2
2025-01-02,5737.74,4260.13,-45.65,9952.22,-0.48,2
2025-01-03,3688.43,6308.41,-31.47,9965.38,-0.35,3
2025-01-06,1491.66,8504.09,-48.91,9946.84,-0.53,4
2025-01-07,1491.66,8504.09,-52.77,9942.98,-0.57,4
2025-01-08,450.22,9545.01,-116.81,9878.42,-1.22,5
2025-01-09,450.22,9545.01,-100.36,9894.87,-1.05,5
2025-01-10,450.22,9545.01,-136.09,9859.14,-1.41,5
2025-01-13,450.22,9545.01,-116.56,9878.67,-1.21,5
2025-01-14,450.22,9545.01,-171.3,9823.93,-1.76,5
2025-01-15,770.13,9017.68,27.63,9815.43,-1.85,5
2025-01-16,770.13,9017.68,-53.02,9734.79,-2.65,5
2025-01-17,770.13,9017.68,-110.44,9677.37,-3.23,5
2025-01-20,770.13,9017.68,-112.07,9675.74,-3.24,5
2025-01-21,770.13,9017.68,-86.77,9701.04,-2.99,5
2025-01-22,770.13,9017.68,-98.21,9689.6,-3.1,5
2025-01-23,909.53,8810.83,-93.79,9626.57,-3.73,5
2025-01-24,909.53,8810.83,-46.36,9674.0,-3.26,5
2025-01-27,909.53,8810.83,3.04,9723.4,-2.77,5
2025-01-28,1897.29,7769.91,32.12,9699.32,-3.01,4
2025-01-29,1897.29,7769.91,6.75,9673.95,-3.26,4
2025-01-30,772.33,8894.31,-47.04,9619.6,-3.8,5
2025-01-31,772.33,8894.31,19.56,9686.2,-3.14,5
2025-02-03,772.33,8894.31,46.28,9712.92,-2.87,5
2025-02-04,772.33,8894.31,29.2,9695.84,-3.04,5
2025-02-05,772.33,8894.31,-44.42,9622.22,-3.78,5
2025-02-06,772.33,8894.31,-42.96,9623.68,-3.76,5
2025-02-07,772.33,8894.31,-35.9,9630.74,-3.69,5
2025-02-10,772.33,8894.31,-68.56,9598.08,-4.02,5
2025-02-11,3305.86,6195.87,128.73,9630.46,-3.7,4
2025-02-12,3305.86,6195.87,97.95,9599.68,-4.0,4
2025-02-13,3305.86,6195.87,96.89,9598.62,-4.01,4
2025-02-14,3305.86,6195.87,93.01,9594.74,-4.05,4
2025-02-17,3305.86,6195.87,65.23,9566.96,-4.33,4
2025-02-18,3305.86,6195.87,114.89,9616.62,-3.83,4
2025-02-19,4528.01,5066.21,83.96,9678.18,-3.22,3
2025-02-20,519.55,9072.66,96.57,9688.78,-3.11,4
2025-02-21,519.55,9072.66,122.14,9714.35,-2.86,4
2025-02-24,595.15,9059.97,21.52,9676.64,-3.23,4
2025-02-25,595.15,9059.97,110.19,9765.31,-2.35,4
2025-02-26,595.15,9059.97,51.09,9706.21,-2.94,4
2025-02-27,595.15,9059.97,43.19,9698.31,-3.02,4
2025-02-28,54.41,9482.46,140.31,9677.17,-3.23,4
2025-03-03,54.41,9482.46,248.2,9785.07,-2.15,4
2025-03-04,54.41,9482.46,225.45,9762.32,-2.38,4
2025-03-05,54.41,9482.46,244.44,9781.31,-2.19,4
2025-03-06,54.41,9482.46,277.27,9814.14,-1.86,4
2025-03-07,54.41,9482.46,214.04,9750.91,-2.49,4
2025-03-10,54.41,9482.46,130.06,9666.93,-3.33,4
2025-03-11,54.41,9482.46,103.01,9639.88,-3.6,4
2025-03-12,54.41,9482.46,149.38,9686.25,-3.14,4
2025-03-13,54.41,9482.46,257.97,9794.84,-2.05,4
2025-03-14,54.41,9482.46,370.01,9906.88,-0.93,4
2025-03-17,54.41,9482.46,386.33,9923.2,-0.77,4
2025-03-18,54.41,9482.46,340.66,9877.53,-1.22,4
2025-03-19,54.41,9482.46,308.15,9845.02,-1.55,4
2025-03-20,54.41,9482.46,236.89,9773.76,-2.26,4
2025-03-21,54.41,9482.46,261.82,9798.69,-2.01,4
2025-03-24,54.41,9482.46,179.81,9716.68,-2.83,4
2025-03-25,54.41,9482.46,246.94,9783.81,-2.16,4
2025-03-26,54.41,9482.46,189.94,9726.81,-2.73,4
2025-03-27,54.41,9482.46,183.73,9720.6,-2.79,4
2025-03-28,54.41,9482.46,166.6,9703.47,-2.97,4
2025-03-31,54.41,9482.46,60.92,9597.79,-4.02,4
2025-04-01,54.41,9482.46,97.68,9634.55,-3.65,4
2025-04-02,54.41,9482.46,127.03,9663.9,-3.36,4
2025-04-03,2334.31,7071.13,214.66,9620.1,-3.8,3
2025-04-04,2334.31,7071.13,122.12,9527.56,-4.72,3
2025-04-07,4099.75,5189.86,145.8,9435.41,-5.65,3
2025-04-08,45.66,9241.93,133.57,9421.15,-5.79,5
2025-04-09,45.66,9241.93,152.71,9440.3,-5.6,5
2025-04-10,2095.32,7116.75,205.2,9417.27,-5.83,4
2025-04-11,2095.32,7116.75,197.83,9409.9,-5.9,4
2025-04-14,282.45,9123.73,-4.85,9401.33,-5.99,5
2025-04-15,282.45,9123.73,-102.4,9303.78,-6.96,5
2025-04-16,282.45,9123.73,-88.67,9317.51,-6.82,5
2025-04-17,282.45,9123.73,-41.98,9364.2,-6.36,5
2025-04-18,282.45,9123.73,-14.72,9391.46,-6.09,5
2025-04-21,3026.7,6187.39,153.3,9367.39,-6.33,4
2025-04-22,3026.7,6187.39,101.71,9315.8,-6.84,4
2025-04-23,1131.02,8082.12,108.32,9321.46,-6.79,5
2025-04-24,2380.9,6970.41,-60.19,9291.12,-7.09,4
2025-04-25,2380.9,6970.41,-24.14,9327.17,-6.73,4
2025-04-28,2310.0,6961.11,126.99,9398.1,-6.02,4
2025-04-29,2310.0,6961.11,59.9,9331.01,-6.69,4
2025-04-30,2310.0,6961.11,156.53,9427.64,-5.72,4
2025-05-01,2310.0,6961.11,162.52,9433.63,-5.66,4
2025-05-02,2310.0,6961.11,116.9,9388.01,-6.12,4
2025-05-05,2310.0,6961.11,79.28,9350.39,-6.5,4
2025-05-06,74.87,9195.13,147.77,9417.76,-5.82,5
2025-05-07,1299.13,8079.4,162.0,9540.53,-4.59,4
2025-05-08,1299.13,8079.4,123.14,9501.67,-4.98,4
2025-05-09,1299.13,8079.4,88.06,9466.59,-5.33,4
2025-05-12,1299.13,8079.4,47.66,9426.19,-5.74,4
2025-05-13,1299.13,8079.4,58.28,9436.81,-5.63,4
2025-05-14,1299.13,8079.4,80.62,9459.15,-5.41,4
2025-05-15,750.55,8536.91,167.41,9454.87,-5.45,4
2025-05-16,750.55,8536.91,167.77,9455.23,-5.45,4
2025-05-19,750.55,8536.91,240.47,9527.93,-4.72,4
2025-05-20,750.55,8536.91,252.83,9540.29,-4.6,4
2025-05-21,750.55,8536.91,241.35,9528.81,-4.71,4
2025-05-22,750.55,8536.91,203.79,9491.25,-5.09,4
2025-05-23,750.55,8536.91,174.11,9461.57,-5.38,4
2025-05-26,750.55,8536.91,176.25,9463.71,-5.36,4
2025-05-27,750.55,8536.91,180.37,9467.83,-5.32,4
2025-05-28,750.55,8536.91,212.59,9500.05,-5.0,4
2025-05-29,750.55,8536.91,143.45,9430.91,-5.69,4
2025-05-30,750.55,8536.91,131.97,9419.43,-5.81,4
2025-06-02,750.55,8536.91,117.87,9405.33,-5.95,4
2025-06-03,750.55,8536.91,197.81,9485.27,-5.15,4
2025-06-04,750.55,8536.91,174.17,9461.63,-5.38,4
2025-06-05,242.42,9260.72,-73.21,9429.92,-5.7,5
2025-06-06,867.63,8539.21,9.96,9416.8,-5.83,5
2025-06-09,867.63,8539.21,42.54,9449.38,-5.51,5
2025-06-10,867.63,8539.21,86.55,9493.39,-5.07,5
2025-06-11,867.63,8539.21,97.43,9504.27,-4.96,5
2025-06-12,867.63,8539.21,162.7,9569.54,-4.3,5
2025-06-13,867.63,8539.21,163.55,9570.39,-4.3,5
2025-06-16,867.63,8539.21,192.58,9599.42,-4.01,5
2025-06-17,867.63,8539.21,184.43,9591.27,-4.09,5
2025-06-18,867.63,8539.21,217.04,9623.88,-3.76,5
2025-06-19,867.63,8539.21,191.69,9598.53,-4.01,5
2025-06-20,867.63,8539.21,172.91,9579.75,-4.2,5
2025-06-23,867.63,8539.21,78.9,9485.74,-5.14,5
2025-06-24,867.63,8539.21,72.09,9478.93,-5.21,5
2025-06-25,867.63,8539.21,73.0,9479.84,-5.2,5
2025-06-26,867.63,8539.21,78.04,9484.88,-5.15,5
