trade_id,ticker,market,strategy,direction,quantity,entry_fill_price,exit_fill_price,entry_fees,exit_fees,total_fees,gross_pnl,net_pnl,pnl_pct,entry_time,exit_time,hold_duration_days,exit_reason
TRD-D1FCBEC5,ITC.NS,india,swing,BUY,2,1153.5765,1091.83381,1.1536,1.0918,2.2454,-123.4854,-124.5772,-5.35,2025-01-01T15:30:00+00:00,2025-01-15T15:30:00+00:00,14.0,STOP_LOSS
TRD-873E8ED9,LT.NS,india,swing,BUY,2,1024.141815,984.16767,1.0241,0.9842,2.0083,-79.9483,-80.9325,-3.9,2025-01-03T15:30:00+00:00,2025-01-15T15:30:00+00:00,12.0,STOP_LOSS
TRD-8CF4E2DF,ICICIBANK.NS,india,swing,BUY,2,1097.838645,1065.14716,1.0978,1.0651,2.1629,-65.383,-66.4481,-2.98,2025-01-06T15:30:00+00:00,2025-01-23T15:30:00+00:00,17.0,STOP_LOSS
TRD-139792CB,TITAN.NS,india,swing,BUY,1,1040.9202,988.255625,0.5205,0.4941,1.0146,-52.6646,-53.1587,-5.06,2025-01-08T15:30:00+00:00,2025-01-28T15:30:00+00:00,20.0,STOP_LOSS
TRD-C452CE78,RELIANCE.NS,india,swing,BUY,1,2698.44855,2534.801965,1.3492,1.2674,2.6166,-163.6466,-164.914,-6.06,2025-01-15T15:30:00+00:00,2025-02-11T15:30:00+00:00,27.0,STOP_LOSS
TRD-9D73A389,BHARTIARTL.NS,india,swing,BUY,1,1129.654545,1222.758315,0.5648,0.6114,1.1762,93.1038,92.4924,8.24,2025-01-15T15:30:00+00:00,2025-02-19T15:30:00+00:00,35.0,TARGET_HIT
TRD-05707938,ITC.NS,india,swing,BUY,1,1124.40192,1188.455475,0.5622,0.5942,1.1564,64.0536,63.4594,5.7,2025-01-30T15:30:00+00:00,2025-02-24T15:30:00+00:00,25.0,TARGET_HIT
TRD-C5AA62D9,INFY.NS,india,swing,BUY,2,994.41696,936.361585,0.9944,0.9364,1.9308,-116.1108,-117.0472,-5.84,2025-01-23T15:30:00+00:00,2025-02-28T15:30:00+00:00,36.0,STOP_LOSS
TRD-A274990F,ITC.NS,india,swing,BUY,2,1205.66253,1140.519455,1.2057,1.1405,2.3462,-130.2861,-131.4266,-5.4,2025-02-28T15:30:00+00:00,2025-04-03T15:30:00+00:00,34.0,STOP_LOSS
TRD-A6960D43,TCS.NS,india,swing,BUY,1,4006.452225,3893.63221,2.0032,1.9468,3.95,-112.82,-114.7668,-2.82,2025-02-20T15:30:00+00:00,2025-04-07T15:30:00+00:00,46.0,STOP_LOSS
TRD-610AB414,BAJFINANCE.NS,india,swing,BUY,2,1062.59103,1025.34707,1.0626,1.0253,2.0879,-74.4879,-75.5132,-3.51,2025-04-07T15:30:00+00:00,2025-04-10T15:30:00+00:00,3.0,STOP_LOSS
TRD-C6DA9694,SUNPHARMA.NS,india,swing,BUY,2,976.488,1075.072195,0.9765,1.0751,2.0516,197.1684,196.0933,10.1,2025-01-01T15:30:00+00:00,2025-04-14T15:30:00+00:00,103.0,TARGET_HIT
TRD-0A7F6AA2,RELIANCE.NS,india,swing,BUY,1,2936.337435,2745.616505,1.4682,1.3728,2.841,-190.7209,-192.0937,-6.5,2025-04-08T15:30:00+00:00,2025-04-21T15:30:00+00:00,13.0,STOP_LOSS
TRD-9055A95E,TITAN.NS,india,swing,BUY,1,1111.705575,1250.504435,0.5559,0.6253,1.1812,138.7989,138.1736,12.49,2025-02-24T15:30:00+00:00,2025-04-24T15:30:00+00:00,59.0,TARGET_HIT
TRD-B7BF32FB,LT.NS,india,swing,BUY,2,982.8912,943.74789,0.9829,0.9437,1.9266,-78.2866,-79.2303,-3.98,2025-04-14T15:30:00+00:00,2025-04-28T15:30:00+00:00,14.0,STOP_LOSS
TRD-9EA1CC38,SBIN.NS,india,swing,BUY,1,1115.727585,1224.877255,0.5579,0.6124,1.1703,109.1497,108.5373,9.78,2025-04-08T15:30:00+00:00,2025-05-07T15:30:00+00:00,29.0,TARGET_HIT
TRD-ECF61B1A,ICICIBANK.NS,india,swing,BUY,2,947.363445,902.86834,0.9474,0.9029,1.8503,-88.9902,-89.8931,-4.7,2025-04-23T15:30:00+00:00,2025-05-15T15:30:00+00:00,22.0,STOP_LOSS
TRD-00295F0E,BHARTIARTL.NS,india,swing,BUY,2,1176.117765,1285.366995,1.1761,1.2854,2.4615,218.4985,217.2131,9.29,2025-05-15T15:30:00+00:00,2025-06-05T15:30:00+00:00,21.0,TARGET_HIT
TRD-8FBF6038,MARUTI.NS,india,swing,BUY,2,997.088295,949.734895,0.9971,0.9497,1.9468,-94.7068,-95.6565,-4.75,2025-04-14T15:30:00+00:00,2025-06-06T15:30:00+00:00,53.0,STOP_LOSS
