date,cash,reserved_margin,unrealized_pnl,nav,total_return_pct,open_positions_count
2025-01-01,869.47,130.47,0.0,999.93,-0.01,1
2025-01-02,869.47,130.47,0.45,1000.39,0.04,1
2025-01-03,444.52,555.2,0.69,1000.42,0.04,3
2025-01-06,444.52,555.2,5.84,1005.56,0.56,3
2025-01-07,444.52,555.2,7.09,1006.81,0.68,3
2025-01-08,444.52,555.2,6.21,1005.93,0.59,3
2025-01-09,444.52,555.2,13.31,1013.03,1.3,3
2025-01-10,444.52,555.2,9.9,1009.62,0.96,3
2025-01-13,444.52,555.2,10.46,1010.18,1.02,3
2025-01-14,444.52,555.2,5.13,1004.85,0.49,3
2025-01-15,444.52,555.2,1.48,1001.2,0.12,3
2025-01-16,444.52,555.2,-1.6,998.12,-0.19,3
2025-01-17,444.52,555.2,-2.51,997.21,-0.28,3
2025-01-20,444.52,555.2,0.47,1000.19,0.02,3
2025-01-21,444.52,555.2,-2.4,997.32,-0.27,3
2025-01-22,444.52,555.2,-5.84,993.88,-0.61,3
2025-01-23,444.52,555.2,-5.41,994.31,-0.57,3
2025-01-24,444.52,555.2,-10.92,988.8,-1.12,3
2025-01-27,444.52,555.2,-13.96,985.76,-1.42,3
2025-01-28,444.52,555.2,-12.53,987.19,-1.28,3
2025-01-29,654.63,332.83,-0.51,986.95,-1.3,2
2025-01-30,654.63,332.83,-5.73,981.73,-1.83,2
2025-01-31,654.63,332.83,-5.75,981.71,-1.83,2
2025-02-03,654.63,332.83,-4.5,982.96,-1.7,2
2025-02-04,433.93,553.42,-9.79,977.56,-2.24,3
2025-02-05,628.4,351.06,-3.61,975.85,-2.41,2
2025-02-06,628.4,351.06,0.15,979.61,-2.04,2
2025-02-07,628.4,351.06,1.59,981.05,-1.9,2
2025-02-10,628.4,351.06,0.96,980.42,-1.96,2
2025-02-11,628.4,351.06,-1.69,977.77,-2.22,2
2025-02-12,628.4,351.06,1.11,980.57,-1.94,2
2025-02-13,628.4,351.06,2.92,982.38,-1.76,2
2025-02-14,628.4,351.06,4.64,984.1,-1.59,2
2025-02-17,628.4,351.06,6.14,985.6,-1.44,2
2025-02-18,628.4,351.06,9.25,988.71,-1.13,2
2025-02-19,765.78,220.59,8.69,995.06,-0.49,1
2025-02-20,765.78,220.59,7.61,993.98,-0.6,1
2025-02-21,765.78,220.59,10.35,996.72,-0.33,1
2025-02-24,765.78,220.59,13.83,1000.2,0.02,1
2025-02-25,765.78,220.59,15.65,1002.02,0.2,1
2025-02-26,765.78,220.59,20.85,1007.22,0.72,1
2025-02-27,1008.9,0.0,0,1008.9,0.89,0
2025-02-28,1008.9,0.0,0,1008.9,0.89,0
2025-03-03,1008.9,0.0,0,1008.9,0.89,0
2025-03-04,1008.9,0.0,0,1008.9,0.89,0
2025-03-05,1008.9,0.0,0,1008.9,0.89,0
2025-03-06,1008.9,0.0,0,1008.9,0.89,0
2025-03-07,1008.9,0.0,0,1008.9,0.89,0
2025-03-10,770.24,238.54,0.0,1008.78,0.88,1
2025-03-11,770.24,238.54,0.42,1009.2,0.92,1
2025-03-12,770.24,238.54,-2.0,1006.78,0.68,1
2025-03-13,770.24,238.54,-1.52,1007.26,0.73,1
2025-03-14,770.24,238.54,0.16,1008.94,0.89,1
2025-03-17,770.24,238.54,-2.54,1006.24,0.62,1
2025-03-18,770.24,238.54,-2.52,1006.26,0.63,1
2025-03-19,770.24,238.54,-2.68,1006.1,0.61,1
2025-03-20,770.24,238.54,-7.16,1001.62,0.16,1
2025-03-21,770.24,238.54,-8.04,1000.74,0.07,1
2025-03-24,770.24,238.54,-8.86,999.92,-0.01,1
2025-03-25,770.24,238.54,-6.6,1002.18,0.22,1
