trade_id,ticker,market,strategy,direction,quantity,entry_fill_price,exit_fill_price,entry_fees,exit_fees,total_fees,gross_pnl,net_pnl,pnl_pct,entry_time,exit_time,hold_duration_days,exit_reason
TRD-A64C0FF1,AVGO,us,swing,BUY,2,111.185565,105.10742,0.1112,0.1051,0.2163,-12.1563,-12.2614,-5.47,2025-01-03T15:30:00+00:00,2025-01-29T15:30:00+00:00,26.0,STOP_LOSS
TRD-F6321219,MSFT,us,swing,BUY,2,101.180565,97.281335,0.1012,0.0973,0.1985,-7.7985,-7.8958,-3.85,2025-01-03T15:30:00+00:00,2025-02-05T15:30:00+00:00,33.0,STOP_LOSS
TRD-E56C5F5A,NVDA,us,swing,BUY,1,130.4652,137.45124,0.0652,0.0687,0.1339,6.986,6.9173,5.35,2025-01-01T15:30:00+00:00,2025-02-19T15:30:00+00:00,49.0,TARGET_HIT
TRD-971D12A4,AVGO,us,swing,BUY,2,110.29512,121.61916,0.1103,0.1216,0.2319,22.6481,22.5265,10.27,2025-02-04T15:30:00+00:00,2025-02-27T15:30:00+00:00,23.0,TARGET_HIT
TRD-C5B4B192,MSFT,us,swing,BUY,2,98.839395,95.83206,0.0988,0.0958,0.1946,-6.0147,-6.1105,-3.04,2025-04-08T15:30:00+00:00,2025-05-06T15:30:00+00:00,28.0,STOP_LOSS
TRD-3E444C98,NVDA,us,swing,BUY,1,162.72132,177.39126,0.0814,0.0887,0.1701,14.6699,14.5812,9.02,2025-04-03T15:30:00+00:00,2025-05-19T15:30:00+00:00,46.0,TARGET_HIT
TRD-4C2F1BEF,NVDA,us,swing,BUY,1,173.14653,186.196855,0.0866,0.0931,0.1797,13.0503,12.9572,7.54,2025-05-22T15:30:00+00:00,2025-06-10T15:30:00+00:00,19.0,TARGET_HIT
TRD-ECD8D459,AAPL,us,swing,BUY,1,186.61326,200.069915,0.0933,0.1,0.1933,13.4567,13.3567,7.21,2025-04-03T15:30:00+00:00,2025-06-18T15:30:00+00:00,76.0,TARGET_HIT
TRD-51BFF9A7,NVDA,us,swing,BUY,1,183.15153,172.423745,0.0916,0.0862,0.1778,-10.7278,-10.814,-5.86,2025-06-12T15:30:00+00:00,2025-06-18T15:30:00+00:00,6.0,STOP_LOSS
TRD-34687C79,AVGO,us,swing,BUY,2,119.269605,110.80457,0.1193,0.1108,0.2301,-16.9301,-17.0409,-7.1,2025-03-10T15:30:00+00:00,2025-06-20T15:30:00+00:00,102.0,STOP_LOSS
